Number,Name,Prize
1,TEAM · 86Hidden,"$2,104.34"
2,Hidden,"$1,578.26"
3,BrestyJigs,"$1,052.17"
4,TEAM · 10Hidden,$841.73
5,WatchGamesTV,$736.52
6,TEAM · 23Mr. Salamanca,$631.30
7,TEAM · 23mdn5,$526.08
8,Avivi88,$420.86
9,TEAM · 86Hidden,$315.65
10,Kongtroller,$210.43
11,needsamiracle,$35.08
12,Hidden,$34.82
13,TEAM · 86Hidden,$34.56
14,TEAM · 23SFBC 🐸 PEPERSKYLUCKBOX6969,$34.29
15,suntaeth,$34.03
16,TEAM · 86Cougar Fox,$33.77
17,TEAM · 23mmikebike09,$33.50
18,SafeDave,$33.24
19,TEAM · 129Hidden,$32.98
20,TEAM · 23SFBC 🐸 Nupsy,$32.71
21,rammyy1,$32.45
22,yeaprolly🍟,$32.19
23,Cryptorpious,$31.93
24,DollarBill,$31.66
25,Hidden,$31.40
26,TEAM · 23Hidden,$31.14
27,ttys55,$30.87
28,TEAM · 23SFBC 🐸 FireOnion,$30.61
29,TEAM · 23Hidden,$30.35
30,Hidden,$30.08
31,USMC0311,$29.82
32,Hidden,$29.56
33,rastlay,$29.30
34,dlogkra,$29.03
35,123qwer121,$28.77
36,Hidden,$28.51
37,treasurechest,$28.24
38,TEAM · 23NONEYA-,$27.98
39,jokerer,$27.72
40,Hidden,$27.45
41,jballs,$27.19
42,Soaringdolphin,$26.93
43,TEAM · 129Chance123,$26.66
44,Hidden,$26.40
45,TEAM · 23Hidden,$26.14
46,⠀PK⠀,$25.88
47,Hidden,$25.61
48,Leo Wong,$25.35
49,TEAM · 23SFBC 🐸 Konarr,$25.09
50,rbstake,$24.82
51,ggmetal,$24.56
52,Cubey,$24.30
53,TEAM · 23Mr. Babineaux,$24.03
54,KARAKAN,$23.77
55,TEAM · 23Hidden,$23.51
56,rballmann15,$23.25
57,Montie,$22.98
58,nirh,$22.72
59,Thorak123,$22.46
60,Lootaveli,$22.19
61,Doestradomus,$21.93
62,100mg,$21.67
63,days!,$21.40
64,TEAM · 23Jacobear,$21.14
65,Hidden,$20.88
66,Yuritardead,$20.61
67,IzBK,$20.35
68,Osomi3,$20.09
69,cryptopygmy,$19.83
70,Stargazer,$19.56
71,MrMalibu,$19.30
72,One_Exilim,$19.04
73,TEAM · 85Hidden,$18.77
74,iGnyte42,$18.51
75,samin,$18.25
76,Tomika53,$17.98
77,TEAM · 10Hidden,$17.72
78,Bones666,$17.46
79,nbucket,$17.20
80,TEAM · 86Ermah_,$16.93
81,Hidden,$16.67
82,JasonRyaN,$16.41
83,Hidden,$16.14
84,Hidden,$15.88
85,fuzzbucket123,$15.62
86,CIABodyguard98D,$15.35
87,Rango88,$15.09
88,dm_,$14.83
89,EvilMasteer,$14.56
90,Kosni4,$14.30
91,Likely,$14.04
92,sktskt,$13.78
93,CmplxStack,$13.51
94,Hidden,$13.25
95,NTR0314,$12.99
96,TEAM · 129ljubastameni,$12.72
97,Anoupou77,$12.46
98,Satoshi0805,$12.20
99,TEAM · 129MissclicK,$11.93
100,jasontason7AC,$11.67
